"time","timeDate","close","high","low","open","volumefrom","volumeto"
1518942300000,"2018-02-18",10510.94,10581.98,10508.13,10580.66,595.45,6264734.37
1518942600000,"2018-02-18",10450.54,10518.1,10447.92,10511.43,580.88,6097890.89
1518942900000,"2018-02-18",10461.79,10486.96,10441.37,10450.54,672.68,7068576.52
1518943200000,"2018-02-18",10434.88,10464.76,10421.47,10461.77,679.76,7095922.31
1518943500000,"2018-02-18",10432.95,10436.06,10420.48,10434.88,280.81,2939554.65
1518943800000,"2018-02-18",10381.26,10460.29,10379.15,10432.95,897.43,9353369.48
1518944100000,"2018-02-18",10360.57,10387.14,10335.61,10381.26,1367.71,14187801.19
1518944400000,"2018-02-18",10365.41,10371.53,10339.07,10361.56,835.81,8699733.5
1518944700000,"2018-02-18",10416.12,10426.12,10365.35,10365.77,699.64,7306437.34
1518945000000,"2018-02-18",10402.27,10420.01,10371.77,10417.25,301.53,3143367.27
1518945300000,"2018-02-18",10436.19,10437.84,10400.17,10402.28,325.99,3408983.97
1518945600000,"2018-02-18",10423.16,10441.34,10417.15,10436.19,415.86,4347908.9
1518945900000,"2018-02-18",10384.76,10425.28,10384.64,10424.01,288.99,3015185.15
1518946200000,"2018-02-18",10362.85,10406.5,10357.59,10384.76,486.01,5063975.91
1518946500000,"2018-02-18",10270,10365.32,10267.21,10362.85,1553.17,16022706.05
1518946800000,"2018-02-18",10296.26,10298.04,10265.67,10270.05,694.99,7218317.8
1518947100000,"2018-02-18",10261.82,10305.73,10261.39,10296.26,477.33,4919884.95
1518947400000,"2018-02-18",10210.54,10261.82,10201.64,10261.82,1292.25,13253296.48
1518947700000,"2018-02-18",10164.87,10210.54,10161.01,10210.54,1346.1,13785667.02
1518948000000,"2018-02-18",10279.08,10281.98,10164.87,10164.87,1181.23,12132733.14
1518948300000,"2018-02-18",10326.73,10327.47,10276.69,10279.09,660.81,6835718.71
1518948600000,"2018-02-18",10340.76,10355.96,10326.51,10326.73,864.18,8967081.03
1518948900000,"2018-02-18",10395.09,10395.77,10315.17,10340.76,628.08,6548722.89
1518949200000,"2018-02-18",10386.72,10402.04,10359.49,10394.64,523.52,5463578.84
1518949500000,"2018-02-18",10419.49,10424.39,10386.58,10386.58,485.81,5079180.63
1518949800000,"2018-02-18",10382.87,10431.9,10379.72,10419.49,503.23,5260440.57
1518950100000,"2018-02-18",10362.85,10383.7,10356.58,10382.87,372.47,3882280.45
1518950400000,"2018-02-18",10410.11,10416.51,10357.21,10362.75,366.13,3821130.64
1518950700000,"2018-02-18",10476.43,10478.11,10410.1,10410.11,508.46,5337005.56
1518951000000,"2018-02-18",10502.68,10511.22,10466.53,10479.16,693.02,7298996.11
1518951300000,"2018-02-18",10526.95,10528.88,10490.9,10503.66,547.08,5773649.87
1518951600000,"2018-02-18",10524.3,10532.57,10487.68,10526.95,612.44,6458507.18
1518951900000,"2018-02-18",10507.16,10529.13,10502.79,10524.3,363.82,3853661.31
1518952200000,"2018-02-18",10530.66,10534.55,10502.72,10507.16,300.7,3179834.78
1518952500000,"2018-02-18",10600.33,10608.31,10531.5,10531.5,1660.27,17584485.76
1518952800000,"2018-02-18",10576.5,10610.61,10575.94,10598.24,601.17,6390583.72
1518953100000,"2018-02-18",10535.03,10582.09,10520.54,10576.5,537.76,5678917.74
1518953400000,"2018-02-18",10508.6,10545.92,10504.13,10535.03,473.19,4995889.71
1518953700000,"2018-02-18",10559.76,10560.78,10507.83,10508.61,477.08,5040772.39
1518954000000,"2018-02-18",10570.62,10615.62,10557.62,10559.86,497.22,5287883.67
1518954300000,"2018-02-18",10611.43,10611.86,10570.25,10570.62,332.54,3542943.65
1518954600000,"2018-02-18",10614.84,10636.11,10610.21,10612.15,446.42,4786393.9
1518954900000,"2018-02-18",10622.35,10630.42,10607.05,10614.84,228.77,2441780.33
1518955200000,"2018-02-18",10546.28,10624.41,10542.05,10622.35,488.7,5182391.8
1518955500000,"2018-02-18",10577.89,10577.89,10538.24,10545.79,416.75,4419339.01
1518955800000,"2018-02-18",10553.39,10590.18,10551.46,10577.89,315.86,3367520.73
